row,aggressors_activations,reads,median_of_time,bitflips
14000,4,1,14635,0
14001,4,1,35806,0
14002,4,1,12065,0
14003,4,1,38641,0
14004,4,1,39474,0
14005,4,1,14400,0
14006,4,1,35841,0
14007,4,1,35811,0
14008,4,1,35820,0
14009,4,1,35804,0
14010,4,1,35897,0
14011,4,1,35884,0
14012,4,1,16315,0
14013,4,1,35804,0
14014,4,1,9882,0
14015,4,1,10583,0
14016,4,1,25100,0
14017,4,1,42921,0
14018,4,1,35468,0
14019,4,1,31751,0
14020,4,1,35849,0
14021,4,1,35823,0
14022,4,1,35735,0
14023,4,1,33820,0
14024,4,1,36005,0
14025,4,1,42897,0
14026,4,1,17494,0
14027,4,1,33958,0
14028,4,1,35942,0
14029,4,1,42964,0
14030,4,1,42244,0
14031,4,1,35761,0
14032,4,1,21709,0
14033,4,1,42904,0
14034,4,1,36768,0
14035,4,1,35806,0
14036,4,1,35883,0
14037,4,1,21490,0
14038,4,1,35794,0
14039,4,1,15470,0
14040,4,1,28013,0
14041,4,1,42910,0
14042,4,1,28664,0
14043,4,1,9709,0
14044,4,1,29774,0
14045,4,1,28716,0
14046,4,1,36417,0
14047,4,1,35745,0
14048,4,1,35812,0
14049,4,1,42909,0
14050,4,1,8751,0
14051,4,1,25277,0
14052,4,1,22985,0
14053,4,1,14922,0
14054,4,1,35810,0
14055,4,1,23368,0
14056,4,1,23343,0
14057,4,1,34552,0
14058,4,1,14538,0
14059,4,1,17210,0
14060,4,1,27831,0
14061,4,1,34680,0
14062,4,1,24390,0
14063,4,1,30767,0
14064,4,1,29737,0
14065,4,1,42909,0
14066,4,1,22181,0
14067,4,1,37624,0
14068,4,1,35878,0
14069,4,1,35773,0
14070,4,1,28581,0
14071,4,1,34022,0
14072,4,1,35875,0
14073,4,1,35740,0
14074,4,1,35805,0
14075,4,1,35811,0
14076,4,1,12374,0
14077,4,1,28574,0
14078,4,1,36475,0
14079,4,1,9245,0
14080,4,1,9916,0
14081,4,1,41475,0
14082,4,1,35772,0
14083,4,1,11459,0
14084,4,1,14310,0
14085,4,1,14740,0
14086,4,1,35862,0
14087,4,1,35782,0
14088,4,1,35933,0
14089,4,1,42926,0
14090,4,1,37019,0
14091,4,1,35745,0
14092,4,1,35895,0
14093,4,1,42965,0
14094,4,1,41336,0
14095,4,1,35747,0
14096,4,1,36796,0
14097,4,1,42957,0
14098,4,1,40455,0
14099,4,1,42965,0
14100,4,1,41182,0
14101,4,1,42023,0
14102,4,1,40897,0
14103,4,1,35750,0
14104,4,1,35818,0
14105,4,1,42915,0
14106,4,1,35832,0
14107,4,1,35762,0
14108,4,1,36783,0
14109,4,1,42962,0
14110,4,1,36517,0
14111,4,1,35686,0
14112,4,1,36832,0
14113,4,1,42904,0
14114,4,1,40443,0
14115,4,1,42965,0
14116,4,1,41356,0
14117,4,1,42626,0
14118,4,1,42903,0
14119,4,1,35758,0
14120,4,1,35865,0
14121,4,1,41414,0
14122,4,1,36780,0
14123,4,1,35805,0
14124,4,1,35795,0
14125,4,1,42965,0
14126,4,1,36723,0
14127,4,1,35736,0
14128,4,1,36788,0
14129,4,1,42952,0
14130,4,1,22683,0
14131,4,1,42960,0
14132,4,1,14274,0
14133,4,1,35808,0
14134,4,1,35822,0
14135,4,1,35797,0
14136,4,1,42906,0
14137,4,1,42953,0
